,,Cycloserine (μM),Cycloserine (μM),Cycloserine (μM),Cycloserine (μM),Cycloserine (μM),Cycloserine (μM),Cycloserine (μM),Cycloserine (μM),Cycloserine (μM),Cycloserine (μM),Cycloserine (μM),Cycloserine (μM)
,,5.859,11.719,23.438,46.875,93.75,187.5,375.0,750.0,1500.0,3000.0,6000.0,12000.0
Replicate,Arabinose (nM),,,,,,,,,,,,
Rep 1,10,0.6847,0.4469,0.077,0.0543,0.0505,0.0492,0.0489,0.0495,0.0498,0.0494,0.0491,0.0486
Rep 1,100,0.6729,0.5068,0.1572,0.0535,0.0518,0.0499,0.0495,0.0495,0.0498,0.0498,0.0478,0.0509
Rep 1,1000,0.6752,0.556,0.4688,0.111,0.0509,0.0501,0.0498,0.0493,0.0496,0.0497,0.0487,0.0489
Rep 1,10000,0.7265,0.6986,0.6105,0.5181,0.0621,0.0496,0.0497,0.0494,0.0494,0.0493,0.0491,0.0474
Rep 1,100000,0.7022,0.713,0.6906,0.6239,0.4016,0.1176,0.0557,0.05,0.0491,0.0496,0.0477,0.0491
Rep 1,1000000,0.6812,0.6581,0.6468,0.6337,0.5105,0.3025,0.0615,0.05,0.0507,0.0502,0.0493,0.0575
Rep 1,10000000,0.6538,0.6089,0.6137,0.5975,0.5977,0.5087,0.161,0.0531,0.0517,0.0506,0.0493,0.0495
Rep 1,100000000,0.6558,0.642,0.6103,0.6649,0.6655,0.6269,0.5472,0.2295,0.0581,0.0556,0.0555,0.0704
Rep 2,10,0.7103,0.4839,0.0709,0.0527,0.05,0.049,0.0505,0.0489,0.0486,0.049,0.0491,0.0499
Rep 2,100,0.6842,0.54,0.183,0.053,0.0646,0.0496,0.0527,0.0493,0.0496,0.0494,0.0472,0.0522
Rep 2,1000,0.6367,0.5692,0.4678,0.1244,0.0507,0.0502,0.0493,0.0489,0.0492,0.0493,0.049,0.0484
Rep 2,10000,0.7169,0.7023,0.6311,0.5669,0.065,0.0497,0.0495,0.0491,0.0491,0.0491,0.0487,0.0505
Rep 2,100000,0.7135,0.7304,0.712,0.6486,0.4475,0.1473,0.0492,0.0499,0.0491,0.0499,0.0494,0.0491
Rep 2,1000000,0.7004,0.6803,0.6706,0.684,0.5655,0.3404,0.0668,0.0496,0.0504,0.0491,0.0494,0.0545
Rep 2,10000000,0.6582,0.6279,0.6144,0.6343,0.6222,0.5318,0.1767,0.0529,0.0505,0.0503,0.0499,0.0491
Rep 2,100000000,0.698,0.6572,0.6147,0.6577,0.6607,0.6778,0.5417,0.2273,0.0576,0.0557,0.0548,0.0647
Rep 3,10,0.6992,0.4684,0.0709,0.053,0.0503,0.049,0.0489,0.0497,0.0487,0.049,0.0474,0.0487
Rep 3,100,0.7037,0.5234,0.1804,0.0546,0.0506,0.0496,0.0496,0.0495,0.0495,0.0496,0.0492,0.0484
Rep 3,1000,0.6616,0.572,0.4854,0.1402,0.051,0.0525,0.0497,0.049,0.0493,0.05,0.0491,0.0485
Rep 3,10000,0.7308,0.7018,0.635,0.5426,0.0561,0.0476,0.0495,0.0492,0.0491,0.0491,0.0488,0.0501
Rep 3,100000,0.689,0.732,0.693,0.6402,0.4162,0.1366,0.0497,0.0499,0.0496,0.0496,0.0495,0.0493
Rep 3,1000000,0.699,0.7248,0.661,0.6676,0.5396,0.3159,0.0613,0.05,0.0499,0.0494,0.049,0.0531
Rep 3,10000000,0.6532,0.6347,0.6094,0.6222,0.6149,0.521,0.1721,0.0532,0.0507,0.0509,0.0499,0.0488
Rep 3,100000000,0.655,0.6405,0.6379,0.6612,0.6568,0.6614,0.5165,0.2828,0.0583,0.0561,0.0549,0.0611
